,acc,pre,rec,f1,auc,cm,fold,model
0,0.625,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157894,"[[ 7  6]
 [ 6 13]]",1,LogReg
1,0.65625,0.6818181818181818,0.7894736842105263,0.7317073170731707,0.6963562753036437,"[[ 6  7]
 [ 4 15]]",1,SVM linear
2,0.625,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6396761133603238,"[[ 7  6]
 [ 6 13]]",1,SVM rbf
3,0.65625,0.7222222222222222,0.6842105263157895,0.7027027027027027,0.680161943319838,"[[ 8  5]
 [ 6 13]]",1,Random Forest
0,0.625,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6417004048582996,"[[ 7  6]
 [ 6 13]]",2,LogReg
1,0.625,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6578947368421051,"[[ 7  6]
 [ 6 13]]",2,SVM linear
2,0.65625,0.7222222222222222,0.6842105263157895,0.7027027027027027,0.6012145748987854,"[[ 8  5]
 [ 6 13]]",2,SVM rbf
3,0.65625,0.75,0.631578947368421,0.6857142857142857,0.6619433198380567,"[[ 9  4]
 [ 7 12]]",2,Random Forest
0,0.59375,0.631578947368421,0.6666666666666666,0.6486486486486486,0.6527777777777778,"[[ 7  7]
 [ 6 12]]",3,LogReg
1,0.59375,0.631578947368421,0.6666666666666666,0.6486486486486486,0.6448412698412698,"[[ 7  7]
 [ 6 12]]",3,SVM linear
2,0.6875,0.75,0.6666666666666666,0.7058823529411765,0.7043650793650793,"[[10  4]
 [ 6 12]]",3,SVM rbf
3,0.71875,0.8,0.6666666666666666,0.7272727272727272,0.7003968253968254,"[[11  3]
 [ 6 12]]",3,Random Forest
0,0.71875,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.7559523809523809,"[[ 7  7]
 [ 2 16]]",4,LogReg
1,0.625,0.6071428571428571,0.9444444444444444,0.7391304347826088,0.7440476190476191,"[[ 3 11]
 [ 1 17]]",4,SVM linear
2,0.6875,0.7,0.7777777777777778,0.7368421052631577,0.7321428571428572,"[[ 8  6]
 [ 4 14]]",4,SVM rbf
3,0.75,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.6964285714285715,"[[ 8  6]
 [ 2 16]]",4,Random Forest
0,0.65625,0.6521739130434783,0.8333333333333334,0.7317073170731708,0.7658730158730159,"[[ 6  8]
 [ 3 15]]",5,LogReg
1,0.71875,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7698412698412698,"[[ 8  6]
 [ 3 15]]",5,SVM linear
2,0.78125,0.7894736842105263,0.8333333333333334,0.8108108108108109,0.7896825396825397,"[[10  4]
 [ 3 15]]",5,SVM rbf
3,0.78125,0.7894736842105263,0.8333333333333334,0.8108108108108109,0.8571428571428572,"[[10  4]
 [ 3 15]]",5,Random Forest
0,0.53125,0.5789473684210527,0.6111111111111112,0.5945945945945946,0.5396825396825398,"[[ 6  8]
 [ 7 11]]",6,LogReg
1,0.59375,0.6470588235294118,0.6111111111111112,0.6285714285714287,0.5158730158730158,"[[ 8  6]
 [ 7 11]]",6,SVM linear
2,0.59375,0.631578947368421,0.6666666666666666,0.6486486486486486,0.6071428571428572,"[[ 7  7]
 [ 6 12]]",6,SVM rbf
3,0.625,0.6875,0.6111111111111112,0.6470588235294118,0.5515873015873016,"[[ 9  5]
 [ 7 11]]",6,Random Forest
0,0.8125,0.8,0.8888888888888888,0.8421052631578948,0.7698412698412698,"[[10  4]
 [ 2 16]]",7,LogReg
1,0.65625,0.64,0.8888888888888888,0.7441860465116279,0.7658730158730158,"[[ 5  9]
 [ 2 16]]",7,SVM linear
2,0.84375,0.8095238095238095,0.9444444444444444,0.8717948717948718,0.869047619047619,"[[10  4]
 [ 1 17]]",7,SVM rbf
3,0.6875,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.6785714285714286,"[[ 9  5]
 [ 5 13]]",7,Random Forest
0,0.7419354838709677,0.8125,0.7222222222222222,0.7647058823529411,0.7435897435897436,"[[10  3]
 [ 5 13]]",8,LogReg
1,0.7419354838709677,0.8125,0.7222222222222222,0.7647058823529411,0.7564102564102564,"[[10  3]
 [ 5 13]]",8,SVM linear
2,0.7741935483870968,0.8235294117647058,0.7777777777777778,0.7999999999999999,0.7307692307692308,"[[10  3]
 [ 4 14]]",8,SVM rbf
3,0.7096774193548387,0.7368421052631579,0.7777777777777778,0.7567567567567567,0.7222222222222222,"[[ 8  5]
 [ 4 14]]",8,Random Forest
0,0.6774193548387096,0.7857142857142857,0.6111111111111112,0.6875000000000001,0.6581196581196581,"[[10  3]
 [ 7 11]]",9,LogReg
1,0.6774193548387096,0.7857142857142857,0.6111111111111112,0.6875000000000001,0.6367521367521367,"[[10  3]
 [ 7 11]]",9,SVM linear
2,0.6774193548387096,0.7857142857142857,0.6111111111111112,0.6875000000000001,0.6538461538461539,"[[10  3]
 [ 7 11]]",9,SVM rbf
3,0.6451612903225806,0.7692307692307693,0.5555555555555556,0.6451612903225806,0.7478632478632479,"[[10  3]
 [ 8 10]]",9,Random Forest
0,0.6451612903225806,0.6521739130434783,0.8333333333333334,0.7317073170731708,0.6132478632478633,"[[ 5  8]
 [ 3 15]]",10,LogReg
1,0.6451612903225806,0.6521739130434783,0.8333333333333334,0.7317073170731708,0.5876068376068376,"[[ 5  8]
 [ 3 15]]",10,SVM linear
2,0.6451612903225806,0.6521739130434783,0.8333333333333334,0.7317073170731708,0.6388888888888888,"[[ 5  8]
 [ 3 15]]",10,SVM rbf
3,0.6774193548387096,0.6818181818181818,0.8333333333333334,0.7499999999999999,0.6688034188034189,"[[ 6  7]
 [ 3 15]]",10,Random Forest
