Target,Dataset,Model,ACC,PRE,REC,F1,AUC,CM
LOAD,AD STRING,Random Forest,0.61875,0.672413793103448,0.772277227722772,0.71889400921659,0.58717905688874,"[[21, 38], [23, 78]]"
LOAD,AD STRING,SVM Linear,0.66875,0.75531914893617,0.702970297029703,0.728205128205128,0.637019634166806,"[[36, 23], [30, 71]]"
LOAD,AD STRING,SVM RBF,0.63125,0.63125,1,0.773946360153257,0.592213458633999,"[[0, 59], [0, 101]]"
LOAD,AD STRING,Logistic Regression,0.6375,0.717171717171717,0.702970297029703,0.71,0.625776136935728,"[[31, 28], [30, 71]]"
LOAD,AD STRING,Random Forest,0.6,0.660869565217391,0.752475247524752,0.703703703703704,0.584494042624602,"[[20, 39], [25, 76]]"
LOAD,AD STRING,SVM Linear,0.66875,0.75531914893617,0.702970297029703,0.728205128205128,0.620406108407451,"[[36, 23], [30, 71]]"
LOAD,AD STRING,SVM RBF,0.66875,0.75531914893617,0.702970297029703,0.728205128205128,0.593220338983051,"[[36, 23], [30, 71]]"
LOAD,AD STRING,Logistic Regression,0.6375,0.717171717171717,0.702970297029703,0.71,0.625776136935728,"[[31, 28], [30, 71]]"
LOAD,AD STRING,Random Forest,0.6,0.663716814159292,0.742574257425743,0.700934579439252,0.584913576103373,"[[21, 38], [26, 75]]"
LOAD,AD STRING,SVM Linear,0.66875,0.75531914893617,0.702970297029703,0.728205128205128,0.618727974492364,"[[36, 23], [30, 71]]"
LOAD,AD STRING,SVM RBF,0.64375,0.72,0.712871287128713,0.716417910447761,0.609162611176372,"[[31, 28], [29, 72]]"
LOAD,AD STRING,Logistic Regression,0.6375,0.717171717171717,0.702970297029703,0.71,0.625776136935728,"[[31, 8], [30, 71]]"
LOAD,NDD STRING,Random Forest,0.6,0.641221374045801,0.831683168316832,0.724137931034483,0.572831011914751,"[[12, 47], [17, 84]]"
LOAD,NDD STRING,SVM Linear,0.66875,0.75531914893617,0.702970297029703,0.728205128205128,0.609833864742406,"[[36, 23], [30, 71]]"
LOAD,NDD STRING,SVM RBF,0.63125,0.63125,1,0.773946360153257,0.599261621077362,"[[0, 59], [0, 101]]"
LOAD,NDD STRING,Logistic Regression,0.6375,0.68695652173913,0.782178217821782,0.731481481481482,0.622755495888572,"[[23, 36], [22, 79]]"
LOAD,NDD STRING,Random Forest,0.5875,0.631578947368421,0.831683168316832,0.717948717948718,0.563936902164793,"[[10, 49], [17, 84]]"
LOAD,NDD STRING,SVM Linear,0.66875,0.75531914893617,0.702970297029703,0.728205128205128,0.609833864742406,"[[36, 23], [30, 71]]"
LOAD,NDD STRING,SVM RBF,0.63125,0.63125,1,0.773946360153257,0.597751300553784,"[[0, 59], [0, 101]]"
LOAD,NDD STRING,Logistic Regression,0.6375,0.68695652173913,0.782178217821782,0.731481481481482,0.622755495888572,"[[23, 36], [22, 79]]"
LOAD,NDD STRING,Random Forest,0.575,0.627906976744186,0.801980198019802,0.704347826086957,0.578117133747273,"[[11, 48], [20, 81]]"
LOAD,NDD STRING,SVM Linear,0.66875,0.75531914893617,0.702970297029703,0.728205128205128,0.609833864742406,"[[36, 23], [30, 71]]"
LOAD,NDD STRING,SVM RBF,0.66875,0.75531914893617,0.702970297029703,0.728205128205128,0.609078704480618,"[[36, 23], [30, 71]]"
LOAD,NDD STRING,Logistic Regression,0.6375,0.68695652173913,0.782178217821782,0.731481481481482,0.622755495888572,"[[23, 36], [22, 79]]"
LOAD,AD STRING,GNN GraphGym,0.6375,0.6667,0.8515,0.7478,0.6708,"[[16, 43], [15, 86]]"
LOAD,AD STRING,GNN GraphGym,0.6375,0.759,0.6238,0.6848,0.6698,"[[39, 20], [38, 63]]"
LOAD,AD STRING,GNN GraphGym,0.6688,0.6967,0.8416,0.7623,0.651,"[[22, 37], [16, 85]]"
LOAD,NDD STRING,GNN GraphGym,0.6188,0.6639,0.802,0.7265,0.6892,"[[18, 41], [20, 81]]"
LOAD,NDD STRING,GNN GraphGym,0.6562,0.6575,0.9505,0.7773,0.6129,"[[9, 50], [5, 96]]"
LOAD,NDD STRING,GNN GraphGym,0.65,0.6772,0.8515,0.7544,0.6466,"[[18, 41], [15, 86]]"
LOAD,Only APOE,Logistic Regression,0.6688,0.7553,0.703,0.7282,0.6266,"[[36, 23], [30, 71]]"
